,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
117,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.14,0.0,24,2,0.1911909924999998,P,hexagonal
118,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.934,0.0,24,2,0.2031054604166667,P,hexagonal
119,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.412,0.0,24,2,0.1999669616666667,P,hexagonal
120,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.161,0.0,24,2,0.2073909075,P,hexagonal
121,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.881,0.0,24,2,0.1911850262500003,P,hexagonal
122,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.515,0.0,13,2,0.1625054053846147,R,trigonal
123,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,144.974,0.0,13,2,0.1416262723076919,R,trigonal
124,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.293,0.0,13,2,0.1411717530769224,R,trigonal
125,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.132,0.0,13,2,0.1454739746153848,R,trigonal
126,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.902,0.0,13,2,0.1354121546153838,R,trigonal
127,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.338,0.0,24,2,0.1890312858333326,P,hexagonal
128,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.418,0.0,24,2,0.1988437987500001,P,hexagonal
129,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.642,0.0,24,2,0.2049414733333326,P,hexagonal
130,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.674,0.0,24,2,0.1858884262500003,P,hexagonal
131,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.201,0.0,24,2,0.1897167295833336,P,hexagonal
132,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.192,0.0,24,2,0.1888135358333329,P,hexagonal
133,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.89,0.0,13,2,0.12882268,R,trigonal
